USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
469020,99999,NENSHA ISL(=599970),CH,,,10.383,114.367,5,19490111,19981231
469999,99999,BOGUS TAIWANESE,CH,,RCKK,0,0,-999,19850611,19910323
470311,99999,MEILAN,CH,,ZJCH,19.935,110.459,22.9,20040706,20210419
470312,99999,ZHENGDING,CH,,ZBSJ,38.281,114.697,71,20040706,20210419
501360,99999,MOHE,CH,,,52.967,122.533,438,19730101,20210419
502460,99999,TA-HE,CH,,,52.333,124.8,465,19730101,20070727
503490,99999,JIU-HAI-LAI,CH,,,51.133,124.05,610,19730105,20020513
503530,99999,HUMA,CH,,,51.733,126.633,175.6,19560820,20210419
504250,99999,SAN-HE,CH,,,50.5,120.067,671,19570601,20040809
504340,99999,TULIHE,CH,,,50.45,121.7,733,19570531,20210419
504420,99999,XIAO-YANG-QI,CH,,,50.8,124.283,549,19730313,20020513
504680,99999,AIHUI,CH,,,50.25,127.45,166,19610801,20210419
505140,99999,MAN-ZHOU-LI,CH,,,49.55,117.467,710,19581002,20050805
505270,99999,HAILAR,CH,,,49.25,119.7,650,19560820,20210325
505280,99999,HAI-LAR/TUNGSHAN,CH,,ZYLA,49.217,119.8,488,19790701,20020731
505480,99999,XIAO'ERGOU,CH,,,49.2,123.717,288,19570531,20210419
505570,99999,NENJIANG,CH,,,49.167,125.233,243,19560820,20210419
505640,99999,SUNWU,CH,,,49.433,127.35,235,19560820,20210419
506030,99999,XIN BARAG YOUQI,CH,,,48.683,116.817,556.7,19600101,20210419
506320,99999,BUGT,CH,,,48.767,121.917,739,19560820,20210419
506390,99999,ZALANTUN,CH,,,48,122.733,310,19560820,19611031
506460,99999,BORDO,CH,,,48.483,124.85,199,19570601,19590831
506560,99999,LONG-ZHEN,CH,,,48.65,126.667,305,19610801,20130120
506580,99999,KESHAN,CH,,,48.05,125.883,237,19570601,20210419
507030,99999,BOGUS CHINESE,CH,,,0,0,-999,19801004,20030619
507270,99999,ARXAN,CH,,,47.167,119.933,997,19560820,20210419
507410,99999,NORTHEAST,CH,,,47.9,133.5,50,19570601,19590831
507420,99999,SAN-CHEN-FANG,CH,,,47.783,124.167,146,19570601,20070727
507450,99999,SANJIAZI,CH,,ZYQQ,47.24,123.918,145.4,19560820,20210419
507560,99999,HAILUN,CH,,,47.45,126.867,248,19560820,20210419
507580,99999,MING-SHUI,CH,,,47.25,125.883,259,19570601,20020613
507740,99999,YICHUN,CH,,,47.7,128.833,259.1,19570601,20210419
507750,99999,HE-GANG,CH,,,47.35,130.2,198,19570602,20030124
507870,99999,BOGUS CHINESE,CH,,,,,,19880208,20020101
507880,99999,FUJIN,CH,,,47.233,131.983,65,19560820,20210419
508340,99999,TE-PO-SU-K/-MIAO,CH,,,46.5,121.367,427,19610801,20090904
508380,99999,QARSAN SOUTHEAST,CH,,,46.217,122.05,273,19560820,19611031
508440,99999,TAILAI,CH,,,46.4,123.45,150,19610801,20210410
508450,99999,NAME/LOCATION UNKN,CH,,,0,0,-999,19801002,20020906
508530,99999,WANG-KUI,CH,,,46.833,126.483,158,19570601,20020513
508540,99999,ANDA,CH,,,46.383,125.317,150,19560820,20210419
508620,99999,TIE-LI,CH,,,47.067,128.033,264,19571215,20070727
508730,99999,CHIA-MU-SSU /CHIAMUEZE,CH,,,46.817,130.333,80.2,19560820,19611031
508770,99999,YI-LAN,CH,,,46.3,129.55,99,19610801,20020513
508880,99999,BAOQING,CH,,,46.317,132.183,83,19570602,20210419
509150,99999,ULIASTAI,CH,,,45.517,116.967,840,19560820,20210419
509360,99999,BAICHENG NORTHEAST,CH,,,45.633,122.85,151,19560820,19611031
509450,99999,TA-AN,CH,,,0,0,-999,19801003,20070727
509490,99999,QIAN GORLOS,CH,,,45.083,124.867,136,19560820,20210419
509530,99999,HARBIN,CH,,,45.933,126.567,117.7,19560820,20210419
509540,99999,CHAO-YUAN,CH,,,0,0,-999,19801001,20031227
509630,99999,TONGHE,CH,,,45.967,128.733,110,19560820,20210419
509680,99999,SHANGZHI,CH,,,45.217,127.967,191,19560820,20210419
509780,99999,JIXI,CH,,,45.3,130.917,273.5,19560820,20210419
509830,99999,HULIN,CH,,,45.767,132.967,103,19730101,20210419
509880,99999,BOGUS CHINESE,CH,,,,,,19890406,20020509
510530,99999,KABA HE,CH,,,48.05,86.35,534,19600101,20210419
510560,99999,APPROXIMATE LOCALE,CH,,,47.933,86.167,0,19890508,20020918
510680,99999,FUHAI/BURULTOKAY,CH,,,47.1,87.383,472,19620306,20020513
510760,99999,ALTAY,CH,,,47.733,88.083,737,19560820,20210419
510770,99999,BOGUS CHINESE,CH,,,47.167,88.367,-999,19570613,20020824
510860,99999,BOGUS CHINESE,CH,,,,,,19840502,20020924
510870,99999,FUYUN,CH,,,46.983,89.517,827,19560820,20210419
511160,99999,BOGUS CHINESE,CH,,,,,,19870103,20020803
511330,99999,TACHENG,CH,,,46.733,83,535,19610901,20210419
511560,99999,HOBOKSAR,CH,,,46.817,85.75,1323.2,19560820,20210419
511860,99999,QINGHE/QINGGLI,CH,,,46.717,90.4,1463,19620302,20020820
512320,99999,PA-ERH-LU-K'O MTN,CH,,,45.95,82.567,1067,19591209,20020513
512410,99999,TO-LI,CH,,,45.95,83.617,2072,19570629,20050515
512430,99999,KARAMAY,CH,,,45.6,84.85,428,19610402,20210419
512880,99999,BAYTIK SHAN,CH,,,45.367,90.533,1651,19591209,20210419
512940,99999,BOGUS CHINESE,CH,,,,,,19860504,20011008
513300,99999,BOLE/BORTALA,CH,,,44.917,82.067,1366,19620302,20020513
513340,99999,JINGHE,CH,,,44.567,82.817,330.2,19560820,20210419
513460,99999,KUYTUN,CH,,,44.433,84.967,442,19560820,19991014
513520,99999,PAO-TAI EAST,CH,,,44.817,85.6,335,19560820,19570630
513560,99999,SHIHEZI,CH,,,44.3,86.033,457,19560820,20020221
513650,99999,FUKANG,CH,,,44.15,87.983,549,19620302,20020513
513790,99999,QITAI,CH,,,44.017,89.567,794,19560820,20210419
514300,99999,INING,CH,,,43.917,81.283,670,19560820,19580812
514310,99999,YINING,CH,,ZWYN,43.95,81.333,663,19580809,20210419
514370,99999,ZHAOSU/MONGGOLKURE,CH,,,43.167,81.117,1830,19620302,20050918
514630,99999,WU LU MU QI,CH,,,43.783,87.617,919,19560820,20210419
514635,99999,DIWOPU,CH,,ZWWW,43.907,87.474,647.7,19850209,20210419
514670,99999,BALGUNTAY,CH,,,42.667,86.333,1753,19600101,20210419
514770,99999,PAU-YANG-HU,CH,,,43.2,88.467,1037,19620302,20020513
514950,99999,SHISANJIANFANG,CH,,,43.217,91.733,732,19560820,20210419
514960,99999,YIWANQUAN,CH,,,43.383,92.1,1890,19890901,19990715
515260,99999,CHUGIRTY,CH,,,42.8,80.85,2042,19620302,20020513
515420,99999,BAYANBULAK,CH,,,43.033,84.15,2459,19600101,20210419
515570,99999,BOGUS CHINESE,CH,,,,,,19881001,20011120
515670,99999,YANQI,CH,,,42.05,86.567,1097,19560820,19991105
515730,99999,TURPAN,CH,,,42.95,89.233,39.3,19560820,20210419
515810,99999,SHANSHAN/PIQAN,CH,,,42.917,90.25,410,19890901,19970504
516280,99999,WEN-SU,CH,,,41.267,80.233,1286,19560820,19991014
516330,99999,BAICHENG/BAY,CH,,,41.767,81.867,1280,19621101,20020513
516380,99999,KUQA SOUTHWEST,CH,,,41.3,81.683,985,19620302,19620731
516420,99999,LUNTAI/BUGUR,CH,,,41.783,84.167,883,19620302,20020513
516440,99999,KUQA,CH,,,41.717,82.95,1100,19560820,20210419
516560,99999,KORLA,CH,,,41.733,85.817,903,19610901,20210419
517010,99999,SAI-K'O-LO-T'E-MA,CH,,,40.45,75.383,3651,19620302,20020805
517050,99999,AR-TUX,CH,,,39.667,76.167,1494,19560820,20020513
517060,99999,TEJAN,CH,,,39.7,76.35,,19560820,19570930
517080,99999,AK-TO,CH,,,0,0,-999,19790705,19820402
517090,99999,KASHI,CH,,ZWSH,39.543,76.02,1380.4,19571004,20210419
517110,99999,AKQI,CH,,,40.933,78.45,1986,19570701,20210419
517160,99999,BACHU,CH,,,39.8,78.567,1117,19560820,20210419
517200,99999,CH'I-LAN-TAI,CH,,,40.533,79.533,1158,19620202,20030516
517300,99999,ALAR,CH,,,40.5,81.05,1013,19620302,20210419
517470,99999,TAZHONG,CH,,,39,83.667,1099,20010915,20210419
517650,99999,TIKANLIK,CH,,,40.633,87.7,847,19570630,20210419
517770,99999,RUOQIANG,CH,,,39.033,88.167,889,19560820,20210419
517780,99999,BOGUS CHINESE,CH,,,,,,19801004,20020611
517860,99999,BOGUS CHINESE,CH,,,,,,19801004,20011214
518040,99999,P U-LI,CH,,,37.783,75.233,3159,19570201,19600328
518110,99999,SHACHE,CH,,,38.433,77.267,1232,19560820,20210419
518180,99999,PISHAN,CH,,,37.617,78.283,1376,19610301,20210419
518280,99999,HOTAN,CH,,ZWTN,37.133,79.933,1375,19560820,20210419
518390,99999,MINFENG,CH,,,37.067,82.717,1409,19600101,20020513
518480,99999,ANDIR,CH,,,37.933,83.65,1264,19620302,19990104
518550,99999,QIEMO/QARQAN,CH,,,38.15,85.55,1248,19560820,20020513
518860,99999,MANGNAI,CH,,,38.25,90.85,2945,19610801,20210419
518950,99999,ZILIUJING WEST,CH,,,37.85,91.483,3061,19560820,19610705
519150,99999,SOGAT SOUTHWEST,CH,,,36.333,78,3700,19570629,19600131
519310,99999,YUTIAN/KERIYA,CH,,,36.867,81.7,1554,19560820,20030629
521010,99999,BARKOL,CH,,,43.583,92.85,1584,19610901,20020530
521120,99999,NAOMAOHU,CH,,,43.6,95.133,469,20030330,20210419
521180,99999,YIWU,CH,,,43.267,94.7,1729,19610901,20021231
522030,99999,HAMI,CH,,ZWHM,42.817,93.517,739,19560820,20210419
522670,99999,EJIN QI,CH,,,41.95,101.067,941,19600301,20210419
522680,99999,APPROXIMATE LOCALE,CH,,,42.083,101.667,0,19740425,20020522
523030,99999,YA-MAN-SU,CH,,,0,0,-999,19731008,20011209
523130,99999,XING-XING-XIA,CH,,,41.783,95.133,1935,19560820,20011109
523180,99999,HONGLIUYUAN,CH,,,41.067,95.417,1524,19740612,20201230
523230,99999,MAZONG SHAN,CH,,,41.8,97.033,1770,19591209,20210419
523330,99999,YEH-MA-CHING,CH,,,41.7,98.25,1463,19740430,19820421
523430,99999,SHU-LUN-CHING,CH,,,41.95,100,958,19610701,19611031
523530,99999,DALAIN HOB EAST,CH,,,41.967,100.883,946,19570601,19580531
523670,99999,BOGUS CHINESE,CH,,,,,,19801001,19850320
523770,99999,BOGUS CHINESE,CH,,,,,,19801002,19840506
523780,99999,GUAIZIHU,CH,,,41.367,102.367,960,19600501,20210419
523910,99999,PANG-TING-TO-TO-KAI,CH,,,41.75,103.967,1463,19600101,20020416
524180,99999,DUNHUANG,CH,,,40.15,94.683,1140,19560820,20210419
524240,99999,AN-XI,CH,,,40.5,96,1177,19570629,20020615
524310,99999,BOGUS CHINESE,CH,,,,,,19840102,19860927
524340,99999,YUMENZHEN NORTHEAST,CH,,,40.467,97.183,1360,19621102,19621230
524360,99999,YUMENZHEN,CH,,,40.267,97.033,1527,19560820,20210419
524410,99999,BEISHAN (MTNS),CH,,,40.717,98.617,1554,19730101,19900418
524460,99999,SHUANGCHENGTZU,CH,,,40.4,99.8,1158,19560820,20020513
524470,99999,JINTA,CH,,,39.817,98.9,1372,19890101,20020513
524950,99999,BAYAN MOD,CH,,,40.75,104.5,1329,19610902,20210419
525230,99999,APPROXIMATE LOCALE,CH,,,39.833,96.75,0,19801001,19840611
525330,99999,JIUQUAN/SUZHOU,CH,,ZLJQ,39.767,98.483,1478,19460331,20210419
525331,99999,ZHONGCHUAN,CH,,ZLLL,36.515,103.62,1947.1,20040713,20210419
525360,99999,JIAYUGUAN SOUTHWEST,CH,,,39.617,98.05,2154,19610903,19610930
525430,99999,BOGUS CHINESE,CH,,,,,,19801002,20020501
525460,99999,GAOTAI WEST,CH,,,39.383,99.717,1354,19560820,19611031
525760,99999,LAI-YEN-CH'IH,CH,,,39.383,102.833,1383,19570601,20020513
526020,99999,LENGHU,CH,,,38.833,93.383,2771,19570701,20210419
526180,99999,DANGCHENGWAN SOUTH,CH,,,39.167,94.833,3746,19620302,19620430
526330,99999,TUO-LE,CH,,,38.8,98.417,609,19610902,20020513
526450,99999,YEH-NIU-KOU,CH,,,38.467,99.55,2169,19600301,20020513
526510,99999,ZHANG-YE/SOUTH,CH,,,38.817,100.4,1493,19560820,20011205
526520,99999,ZHANGYE,CH,,,39.083,100.283,1462,19600101,20210419
526530,99999,ZHANG-YE/SOUTHEAST,CH,,,38.8,100.667,1463,19731109,20011012
526570,99999,BABAO,CH,,,38.233,100.25,2700,19600101,20020513
526610,99999,SHAN-DAN,CH,,,38.8,101.083,1760,19560820,20020513
526710,99999,SALT LAKE,CH,,,0,0,-999,19740422,20020609
526740,99999,JIN-CHANG,CH,,,38.467,102.183,1676,19640101,20020513
526790,99999,CAIQI SOUTHEAST,CH,,,38.083,102.917,1525,19560820,19611031
526810,99999,MINQIN,CH,,,38.633,103.083,1367,19570502,20210419
526820,99999,BOGUS CHINESE,CH,,,,,,19890404,20020106
526980,99999,GOLMUD NW,CH,,,0,0,-999,19800703,20010829
527020,99999,SHA-LIANG-ZI,CH,,,37.917,93.35,0,19801005,20010903
527070,99999,T'A-ERH-TING,CH,,,37.067,92.867,2712,19570701,20020513
527130,99999,DA-QAIDAM,CH,,,37.85,95.367,3174,19570630,20210419
527230,99999,BOGUS CHINESE,CH,,,0,0,-999,19740612,20020926
527360,99999,BOGUS CHINESE,CH,,,0,0,-999,19731004,20020818
527370,99999,DELINGHA,CH,,,37.367,97.367,2982,19560820,20210419
527380,99999,BOGUS CHINESE,CH,,,0,0,-999,19731129,20011104
527400,99999,HSIN-YUAN,CH,,,37.3,99.017,3627,19890928,19970514
527440,99999,KARMAR NORTHWEST,CH,,,37.5,98.8,3978,19610316,19620621
527530,99999,BOGUS CHINESE,CH,,,37.683,100.7,3353,19740612,19850306
527540,99999,GANGCA,CH,,,37.333,100.133,3302,19610316,20210419
527650,99999,HAO-MEN,CH,,,37.367,101.617,2682,19610901,20020513
527660,99999,BOGUS CHINESE,CH,,,0,0,-999,19731110,20011214
527760,99999,GU-LANG (?),CH,,,0,0,-999,19740617,19811221
527770,99999,XOLUNGLANG SE,CH,,,37.15,102.217,2934,19740425,19741203
527790,99999,TIANZHU NORTHEAST,CH,,,37.267,102.883,2728,19740423,19760112
527820,99999,NAME/LOCATION UNKN,CH,,,,,,19801004,20011110
527870,99999,WUSHAOLING,CH,,,37.2,102.867,3044,19560820,20210419
527880,99999,BOGUS CHINESE,CH,,,37.233,103.4,2415,19731101,20020922
527970,99999,CHING-T'AI,CH,,,37.133,104.217,1402,19620302,20020513
527980,99999,BOGUS CHINESE,CH,,,37.067,104.467,1829,19740427,20160421
528130,99999,GOL-MUD (?),CH,,,36.817,95.35,2731,19731109,20011126
528180,99999,GOLMUD,CH,,ZLGM,36.417,94.9,2809,19560820,20210419
528250,99999,NUO-MU-HONG,CH,,,36.45,96.467,2804,19570601,20021025
528260,99999,BOGUS CHINESE,CH,,,0,0,-999,19801001,19850320
528330,99999,SERH,CH,,,36.95,98.35,2987,19890901,20020513
528360,99999,DOULAN,CH,,,36.3,98.1,3190,19560820,20210419
528380,99999,HSIANG-JIH-TE NE,CH,,,36.067,97.75,2976,19731108,19750414
528420,99999,CHA-KA,CH,,,36.783,99.083,2925,19610901,20001028
528460,99999,BOGUS CHINESE,CH,,,,,,19801003,19840515
528540,99999,JIANG-XI-GOU (?),CH,,,0,0,-999,19570701,20020910
528560,99999,GONGHE,CH,,,36.35,100.783,2743,19560820,20020513
528570,99999,BOGUS CHINESE,CH,,,,,,19801004,19850328
528640,99999,HUANG-YUAN (?),CH,,,0,0,-999,19841101,20020712
528660,99999,XINING,CH,,ZLXN,36.617,101.767,2262,19560820,20210419
528680,99999,HEY-IN,CH,,,36.033,101.433,2072,19620302,20051212
528760,99999,MINHE,CH,,,36.333,102.833,1905,19620302,20090928
528860,99999,APPROXIMATE LOCALE,CH,,,36.567,103.7,1951,19731108,20020803
528880,99999,LAN-ZHOU/CITY,CH,,ZLAN,36.117,103.617,1600,19740613,20020301
528890,99999,LANZHOU,CH,,,36.05,103.883,1518,19560820,20170220
528950,99999,JINGYUAN,CH,,,36.583,104.683,1505,19560820,20030118
529070,99999,BOGUS CHINESE,CH,,,35.167,92.833,4877,19740601,20020310
529080,99999,WUDAOLIANG,CH,,,35.217,93.083,4613,19570701,20210419
529400,99999,APPROXIMATE LOCALE,CH,,,35.5,99.333,0,19841101,19851116
529410,99999,NAME UNKNOWN,CH,,,35.717,98.917,3962,19900101,20101225
529420,99999,ZIKETAN WEST,CH,,,35.767,99.167,4723,19600101,19600430
529430,99999,XINGHAI,CH,,,35.75,99.983,3200,19600601,20020923
529470,99999,APPROXIMATE LOCALE,CH,,,35.167,98.75,0,19831203,19850625
529550,99999,GUINAN,CH,,,35.583,100.75,3123,20010802,20210419
529570,99999,TONGDE,CH,,,35.267,100.65,3290,19560820,19990422
529580,99999,APPROXIMATE LOCALE,CH,,,35.267,100.65,0,19731129,19890816
529680,99999,SON-AG,CH,,,35.033,101.467,3565,19620302,20020208
529740,99999,BOGUS CHINESE,CH,,,,,,19910201,20020417
529780,99999,XIAHE NORTH,CH,,,35.233,102.5,3050,19560820,19580408
529830,99999,YU ZHONG,CH,,,35.867,104.15,1875,20040510,20210419
529840,99999,LINXIA,CH,,,35.467,102.983,1920,19620302,20020513
529860,99999,LINTAO,CH,,,35.333,104,1905,19570705,20020513
529960,99999,HUAJIALING,CH,,,35.383,105,2450,19560820,20210419
530680,99999,ERENHOT,CH,,,43.65,112,966,19560820,20210419
530730,99999,BOGUS CHINESE,CH,,,0,0,-999,19740429,20020410
530780,99999,BOGUS CHINESE,CH,,,0,0,-999,19740420,20020610
530830,99999,NARAN BULAG,CH,,,44.617,114.15,1183,19580101,20210419
531490,99999,MANDAL,CH,,,42.533,110.133,1223,19580101,20210419
531920,99999,ABAG QI,CH,,,44.017,115,1147.7,19560820,20210419
531950,99999,ENGER SHOOTO,CH,,,43.383,114.45,1128,19570601,20090904
532310,99999,HAILS,CH,,,41.45,106.383,1510,19600102,20210419
532760,99999,JURH,CH,,,42.4,112.9,1152,19560820,20210419
532780,99999,BOIN SUM,CH,,,42.2,112.517,1280,19890901,19910607
532860,99999,BOGUS CHINESE,CH,,,0,0,-999,19731009,20011205
533230,99999,BOGUS CHINESE,CH,,,0,0,-999,19740617,19841006
533310,99999,BOGUS CHINESE,CH,,,0,0,-999,19801001,20011010
533360,99999,HALIUT,CH,,,41.567,108.517,1290,19560820,20210419
533520,99999,BAILING-MIAO,CH,,,41.7,110.433,1377,19560820,20210419
533620,99999,SHARA MORON SUME,CH,,,42.033,111.533,1372,19610801,20020404
533630,99999,APPROXIMATE LOCALE,CH,,,41.667,111.783,1524,19740616,20020203
533760,99999,BA-DAO-GOU (?),CH,,,0,0,-999,19740421,20020605
533910,99999,HUADE,CH,,,41.9,114,1484,19560820,20210419
534200,99999,HANG-CHIN-HOU-CHI NW,CH,,,40.967,107.167,1035,19560820,19611031
534360,99999,BOGUS CHINESE,CH,,,0,0,-999,19801001,20030723
534460,99999,BAOTOU,CH,,ZBOW,40.567,109.983,940,19560820,19840813
534463,99999,BAOTOU,CH,,ZBOW,40.559,109.998,1012.2,20060727,20190611
534620,99999,PI KO CHAI(AFLD),CH,,,40.75,111.267,1036,19731020,20030923
534630,99999,BAITA,CH,,ZBHH,40.851,111.824,1083.9,19560820,20210419
534730,99999,CHI PI PU LANG,CH,,,0,0,-999,19800708,20020509
534770,99999,BOGUS CHINESE,CH,,,0,0,-999,19740425,20020524
534780,99999,YOU-YU,CH,,,40.167,112.333,1212,19570601,20070727
534800,99999,JINING,CH,,,41.033,113.067,1416,19560820,20210419
534870,99999,DATONG,CH,,,40.083,113.417,1054,19570601,20210419
534880,99999,CHU LE P'U,CH,,,0,0,-999,19731111,20020621
535020,99999,JARTAI,CH,,,39.783,105.75,1143,19560820,20210419
535130,99999,LINHE,CH,,,40.767,107.4,1041,19560820,20210419
535190,99999,SHIZUISHAN/DAWUKOU,CH,,,39.05,106.4,975,19620302,20020513
535230,99999,A-LU-CH'IH-LAO-KA,CH,,,39.883,108,1372,19740613,20020910
535290,99999,OTOG QI,CH,,,39.1,107.983,1381,19560820,20210419
535330,99999,HANG-GIN-QI,CH,,,39.85,108.733,1450,19731004,20130527
535390,99999,PA LA MU TU SHIH LI,CH,,,39.15,108.9,1140,19731004,19850401
535430,99999,DONGSHENG,CH,,,39.833,109.983,1459,19730101,20210419
535460,99999,XINJIE NW,CH,,,39.283,109.75,1310,19560820,19631231
535630,99999,BOGUS CHINESE,CH,,,0,0,-999,19800401,20011128
535640,99999,HEQU,CH,,,39.367,111.217,1037,19560820,20210419
535730,99999,BOGUS CHINESE,CH,,,0,0,-999,19801001,20020625
535770,99999,BOGUS CHINESE,CH,,,39.133,112.3,1219,19740612,20070602
535780,99999,BOGUS CHINESE,CH,,,39.3,112.417,900,19731108,20030414
535870,99999,BOGUS CHINESE,CH,,,0,0,-999,19801003,20021010
535880,99999,WUTAI SHAN,CH,,,38.95,113.517,2210,19560820,20210419
535930,99999,YU XIAN,CH,,,39.833,114.567,910,19560820,20210419
